CODEN	ISSN	Serial Title	Publisher Name	
SXSHEY	1001-8719	"Shiyou Xuebao, Shiyou Jiagong/Acta Petrolei Sinica (Petroleum Processing   Section)"	China Int Book Trading Corp	
SYHPD9	0253-2697	Shiyou Xuebao/Acta Petrolei Sinica	China Int Book Trading Corp	
SZJIF7	1001-0890	Shiyou Zuantan Jishu/Petroleum Drilling Techniques	J Agency OGST	
SHVIE8	1070-9622	Shock and Vibration	IOS Press	
SHVDAN	0583-1024	Shock and Vibration Digest	Sage Sci Press	
SWVMAJ	0037-4261	Short Wave Magazine	P W Publ Ltd	
SCYCE4	1004-9037	Shu Ju Cai Ji Yu Chu Li/Journal of Data Acquisition & Processing	NUAA	
SHUJE6	1001-6791	Shuikexue Jinzhan/Advances in Water Science	China Water Power Press	
001823	1003-1243	Shuili Fadian Xuebao/Journal of Hydroelectric Engineering	Tsinghua Univ Press	
SFXUF7	0559-9342	Shuili Fadian/Water Power	China Int Book Trading Corp	
SLHPBI	0559-9350	Shuili Xuebao/Journal of Hydraulic Engineering	Water Resources & Electric Power Press	
SHGOFK	1002-4972	Shuiyun Gongcheng/Port & Waterway Engineering	China Int Book Trading Corp	
SMJMAP	0036-1399	SIAM Journal on Applied Mathematics	Soc for Industrial & Applied Mathematics Publ	
SMJCAT	0097-5397	SIAM Journal on Computing	SIAM	
SJCODC	0363-0129	SIAM Journal on Control and Optimization	Soc for Industrial & Applied Mathematics Publ	
SJDMEC	0895-4801	SIAM Journal on Discrete Mathematics	Soc for Industrial & Applied Mathematics Publ	
SJMAEL	0895-4798	SIAM Journal on Martix Analysis and Applications	Soc for Industrial & Applied Mathematics Publ	
SJNAAM	0036-1429	SIAM Journal on Numerical Analysis	Soc for Industrial & Applied Mathematics Publ	
SJOCE3	1064-8275	SIAM Journal on Scientific Computing	Soc for Industrial & Applied Mathematics Publ	
002776		SIAM Monographs on Mathematical Modeling and Computation	SIAM	
SJMAAH	0036-1410	SIAM News	Soc for Industrial & Applied Mathematics Publ	
002505		SIAM Proceedings Series	Soc for Industrial & Applied Mathematics Publ	
SIREAD	0036-1445	SIAM Review	Soc for Industrial & Applied Mathematics Publ	
500135	0002-3426	Sibirskij Khimicheskij Zhurnal SO RAN	Mezhdunarodnaya Kniga	
CRICF0	1083-1312	SID Conference Record of the International Display Research Conference	SID	
SIGSD3	0097-8418	"SIGCSE Bulletin (Association for Computing Machinery, Special Interest Group   on Computer Science Education)"	ACM	
FASRDV	0163-5840	SIGIR Forum (ACM Special Interest Group on Information Retrieval)	ACM	
SRECD8	0163-5808	SIGMOD Record (ACM Special Interest Group on Management of Data)	ACM	
SPRODR	0165-1684	Signal Processing	Elsevier Science Publishers B.V.	
000008		Signal Processing - Theories and Applications	Elsevier Science Publishers B.V.	
SPICEF	0923-5965	Signal Processing: Image Communication	Elsevier Science B.V.	
SINODQ	0362-1340	SIGPLAN Notices (ACM Special Interest Group on Programming Languages)	ACM	
SIINAT	0037-5225	Silicates Industriels	Belgian Ceram Soc	
SIGEAQ	0037-5349	Silvae Genetica	J D Sauerlaender Verlag	
002927	0838-0910	Silvicultural Operations Newsletter	For Eng Res Inst Can	
SIMUA2	0037-5497	Simulation	Simulation Councils Inc	
SMCPAX	0735-9276	Simulation Councils Proceedings Series	Soc for Computer Simulation Int	
SPTHEH	0928-4869	Simulation Practice and Theory	Elsevier Science B.V.	
SIIMEU	0394-929X	Sistemi & Impresa	ESTE	
002926	0800-8582	Skog Industri	Selvig Forlag A.S	
SMSTER	0964-1726	Smart Materials and Structures	IOP	
SMSNA5	0037-7333	Smithsonian	Smithson Inst	
SMPJDF	0036-1682	SMPTE Journal	SMPTE	
SMTEEL	0893-3588	SMT Surface Mount Technology Magazine	IHS Publ Group	
SCCSC8	0091-1372	"Soap, Cosmetics, Chemical Specialties"	PTN Publishing Corp	
002259	0306-3127	Social Studies of Science	Sage Sci Press	
SEAPAZ		"Society of Petroleum Engineers of AIME, (Paper) SPE"	Soc Pet Eng (SPE)	
SOFTFB		Soft Watch	"Applied Computer Research, Inc."	
SPEXBL	0038-0644	Software - Practice and Experience	John Wiley & Sons Ltd	
002401	1093-0175	"Software Engineering Education Conference, Proceedings"	IEEE	
SFENDP	0163-5948	Software Engineering Notes	ACM	
SMWMEQ	0897-8085	Software Magazine	"Sentry Publishing Company, Inc."	
SOFWBG	0038-0652	Software World	A.P. Publ Ltd	
SOTRD5	0167-1987	Soil and Tillage Research	Elsevier Science B.V.	
SDEEEJ	0267-7261	Soil Dynamics and Earthquake Engineering	Elsevier Science Ltd	
SOSCAK	0038-075X	Soil Science	Williams & Wilkins Co	
SSSJD4	0361-5995	Soil Science Society of America Journal	Soil Science Soc of America	
SUMAEU	0266-0032	Soil Use and Management	CAB International	
SOIFBE	0038-0806	Soils and Foundations	Japanese Geotech Soc	
SRENA4	0038-092X	Solar Energy	Elsevier Science Ltd	
SEMCEQ	0927-0248	Solar Energy Materials and Solar Cells	Elsevier Science Publishers B.V.	
SIJOE7	1050-5660	Solar Industry Journal	Solar Energy Industries Association	
SSMOEO	0954-0911	Soldering & Surface Mount Technology	MCB Univ Press Ltd	
SFCHDV	0361-5219	Solid Fuel Chemistry	Allerton Press Inc	
SSCOA4	0038-1098	Solid State Communications	Elsevier Science Ltd	
SSIOD3	0167-2738	Solid State Ionics	Elsevier Science Publishers B.V.	
SSNRE4	0926-2040	Solid State Nuclear Magnetic Resonance	Elsevier Science Publishers B.V.	
SSTEAP	0038-111X	Solid State Technology	PennWell Publ Co	
SWATE7	1072-9550	Solid Waste Technologies	"Adams/Green Industry Publishing, Inc."	
SSELA5	0038-1101	Solid-State Electronics:An International Journal	Elsevier Science Ltd	
001055		Solvation Dynamics and Charge Transfer Reactions - Proceedings	World Scientific Publ Co	
SEIEDB	0736-6299	Solvent Extraction and Ion Exchange	Marcel Dekker Inc	
SACJE3	1015-7999	South African Computer Journal	Computer Society of South Africa	
SAJCDG	0379-4350	South African Journal of Chemistry	Bur for Scientific Publications	
SAJSAR	0038-2353	South African Journal of Science	Stigting vir Navorsingsontwikkeling	
SAMEAY	0038-2442	South African Mechanical Engineer	South African Inst of Mechanical Engineers	
SCOREX		Southcon Conference Record	IEEE	
002089		Southern Biomedical Engineering Conference - Proceedings	IEEE	
002928	0274-774X	Southern Graphics	Coast Publ Inc	
SJAFD9	0148-4419	Southern Journal of Applied Forestry	Soc of American Foresters	
SOPPDD	0270-4488	Southern Pulp & Paper	Ernest H Abernethy Publ	
SJGCDU	0360-5043	Soviet Journal of Glass Physics and Chemistry (English translation of Fizika   i Khimiya Stekla)	MAIK Nauka/Interperiodica Publ	
SSRRDM	0143-0408	"Soviet Scientific Reviews, Section B - Chemistry Reviews"	Harwood Academic Publ	
STBREJ	0892-6808	Soviet Technology Reviews / Section B:Thermal Physics Reviews	Harwood Academic Publ	
SPCCEJ	0924-8625	Space Communications	IOS Press	
SPCPBL	0584-6099	Space Congress Proceedings	Canaveral Council of Technical Societies	
SPAPEE	0883-6272	Space Power	Counc Soc Econom Stud	
SPTEE8	0892-9270	Space Technology	Elsevier Science Ltd	
SJETE4		SPAR Journal of Engineering and Technology	Spar Aerospace Limited	
SPVIEU	0169-1015	Spatial Vision	VSP BV	
PAPGFR		SPE - Asia Pacific Oil & Gas Conference	Soc Pet Eng (SPE)	
85SBAM		"SPE - European Formation Damage Control Conference, Proceedings"	Soc Pet Eng (SPE)	
85RGAW		SPE - Rocky Mountain Regional/Low Permeability Reservoirs Symposium and   Exhibition	Soc Pet Eng (SPE)	
SDCOE5	1064-6671	SPE Drilling and Completion	Soc Pet Eng (SPE)	
SFEVEG	0885-923X	SPE Formation Evaluation	Soc Pet Eng (SPE)	
002354		SPE Gas Technology Symposium Proceedings	Soc Pet Eng (SPE)	
PSHSFD		SPE Hydrocarbon Economics and Evaluation Symposium	Soc Pet Eng (SPE)	
SPJRFW	1086-055X	SPE Journal	Soc Pet Eng (SPE)	
SPEMAL	0882-1100	SPE Monograph Series (Society of Petroleum Engineers of AIME)	Soc Pet Eng (SPE)	
002353		SPE Proceedings - Mid-Continent Gas Symposium	Soc Pet Eng (SPE)	
SPRFEZ	1064-668X	SPE Production & Facilities	Soc Pet Eng (SPE)	
SPESD8		SPE Reprint Series	Soc Pet Eng (SPE)	
SREEEF	0885-9248	SPE Reservoir Engineering (Society of Petroleum Engineers)	Soc Pet Eng (SPE)	
PSEPFN		SPE/EPA Exploration & Production Environmental Conference	Soc Pet Eng (SPE)	
003084		SPE/International Society of Rock Mechanics in Petroleum Engineering   Conference	Soc Pet Eng (SPE)	
002587		"SPE/UKOOA European Environmental Conference, Proceedings"	Soc Pet Eng (SPE)	
SPRSE6	0949-7536	Special Press Reports - The German Research Service	Forschungsdienst GmbH	
SSGPEV		Special Publication - SEPM (Society for Sedimentary Geology)	SEPM	
SRTBDC	0360-859X	"Special Report - National Research Council, Transportation Research Board"	National Research Council	
SAMCAS	1386-1425	"Spectrochimica Acta, Part A: Molecular and Biomolecular Spectroscopy"	Elsevier Science B.V.	
SAASBH	0584-8547	"Spectrochimica Acta, Part B: Atomic Spectroscopy"	Elsevier Science B.V.	
SPECET	0887-6703	Spectroscopy	"Advanstar Communications, Inc"	
SPEUEF	0966-0941	Spectroscopy Europe	Wiley-VCH Verlag Berlin GmbH	
SPLEBX	0038-7010	Spectroscopy Letters	Marcel Dekker Inc	
SPIJDZ	0712-4813	Spectroscopy: An International Journal	IOS Press	
002737		Spectrum Series - Australasian Institute of Mining and Metallurgy	Australasian Inst of Mining & Metallurgy	
SPSTDD	0155-7785	Speculations in Science and Technology	Kluwer Academic Publishers	
SCOMDH	0167-6393	Speech Communication	Elsevier Science Publishers B.V.	
SSCPDA	0172-6218	Springer Series in Chemical Physics	Springer-Verlag GmbH & Company KG	
SPRIEA	0584-9667	Springs	Spring Manufacturers Inst	
SSJOFA	1084-578X	SSA Journal: Journal of the Semiconductor Safety Association	Cognizant Commun Corp	
SEZBAG	0340-4803	Stahl und Eisen	Verlag Stahleisen GmbH	
STAHAE	0038-9145	Stahlbau	Ernst & Sohn	
STRUA2	0561-7855	Stahlbau Rundschau	Bohmann Druck und Verlag Gesellschaft m.b.H. & Co. KG	
STALAQ	0038-920X	Stal'	Mezhdunarodnaya Kniga	
STDNAD	0090-1210	Standardization News	ASTM	
STKABA	0038-9692	Standarty i Kachestvo	Mezhdunarodnaya Kniga	
SCCCBR	0585-086X	Stapp Car Crash Conference Proceedings	SAE	
STARDD	0038-9056	Starch/Staerke	Wiley-VCH Verlag Berlin GmbH	
SJUED4	0167-8000	Statistical Journal of the United Nations Economic Commission for Europe	IOS Press	
STSCEP	0883-4237	Statistical Science	Institute of Mathematical Statistics	
SPLTDC	0167-7152	Statistics & Probability Letters	Elsevier Science B.V.	
STRSEY	0177-4832	Steel Research	Verlag Stahleisen mbH	
STTIEE	0953-2412	Steel Technology International	Sterling Publ Ltd	
STLTA3	0039-095X	Steel Times	DMG Bus Media Ltd	
STTIDD	0143-7798	Steel Times International	DMG Bus Media Ltd	
STCPDH	0731-7735	Steelmaking Conference Proceedings	Iron & Steel Soc of AIME	
STKRAQ	0131-9582	Steklo i Keramika	Mezhdunarodnaya Kniga	
STKOFM		STFi Kontakt	STFI	
STOPB7	0304-4149	Stochastic Processes and their Applications	Elsevier Science B.V.	
SMSOFD		Storage Management Solutions	West World Productions Inc	
STRNBG	0039-2103	Strain	British Soc Strain Meas	
SMAJD8	0143-2095	Strategic Management Journal	John Wiley & Sons Inc	
SEENEJ	1048-5236	Strategic Planning for Energy and the Environment	Fairmont Press Inc	
STSYEN		Strategic Systems	"Applied Computer Research, Inc."	
SMTLB5	0039-2316	Strength of Materials	Plenum Publ Corp	
SDMMA9	0039-2391	Stroitel'nye i Dorozhnye Mashiny	Mezhdunarodnaya Kniga	
STRMAC	0585-430X	Stroitel'nye Materialy	Mezhdunarodnaya Kniga	
STTRA3	0039-2448	Stroitel'stvo Truboprovodov	Mezhdunarodnaya Kniga	
STJSAO	0562-1887	Strojarstvo	Izdavacki Savjet Casopisa Strojarstvo	
STJVAX	0039-2480	Strojniski Vestnik/Journal of Mechanical Engineering	Assn Mech Eng & Technicians of Slovenia	
STCHES	1040-0400	Structural Chemistry	Plenum Publ Corp	
SDTBEH	1062-8002	Structural Design of Tall Buildings	John Wiley & Sons Ltd	
SEPADY	0039-2553	Structural Engineer	Inst Struct Eng	
SEGMEQ	1225-4568	Structural Engineering and Mechanics	Techno- Press	
002331	1016-8664	Structural Engineering International: Journal of the International   Association for Bridge and Structural Engineering (IABSE)	Int Assoc Bridge Struct Eng Eth-Honggerberg	
ASERCV	0319-0110	Structural Engineering Report	Univ of Alberta	
SEEEEQ	0289-8063	Structural Engineering/Earthquake Engineering	Japan Soc of Civil Engineers	
SOPTEQ	0934-4373	Structural Optimization	Springer-Verlag GmbH & Company KG	
STSRE2		Structural Research Series Report	University of British Columbia	
STSADI	0167-4730	Structural Safety	Elsevier Sci Ltd	
STBGAG	0081-5993	Structure and Bonding	Springer-Verlag GmbH & Company KG	
85SCAP		Structures Congress - Proceedings	ASCE	
SFSUAB	0039-3150	Studia Forestalia Suecica	Scandinavian University Press	
SCONAH	0039-3630	Studies in Conservation	Int Inst Conserv Histor Artistic Works	
SENSDA	0166-1116	Studies in Environmental Science	Elsevier Science Publishers B.V.	
SULED2	0278-6117	Sulfur Letters	Harwood Academic Publishers	
SZTRAB	0039-4912	Sulzer Technical Review	Sulzer Management AG	
SUKIA6	0371-411X	Sumitomo Metals	Sumitomo Metal Industries Ltd	
SUSEAY	0585-9131	Sumitomo Search	Sumitomo Metal Ind Ltd	
SUNWDW	0149-1938	Sunworld	Int Solar Energy Soc	
001151		Supercomputer	Springer-Verlag GmbH & Company KG	
SFKTE6	0235-8964	"Superconductivity: Physics, Chemistry, Technology"	Kurchatov Institute of Atomic Energy	
SUSTEF	0953-2048	Superconductor Science & Technology	IOP	
SUMIEK	0749-6036	Superlattices and Microstructures	Academic Press Ltd	
SUPRAO	0039-5854	Supervision	Natl Res Bur	
SUSCFX	0968-5677	Supramolecular Science	Elsevier Science Ltd	
SCTEEJ	0257-8972	Surface & Coatings Technology	Elsevier Sequoia SA	
SIANDQ	0142-2421	Surface and Interface Analysis	John Wiley & Sons Ltd	
SCOIE6	0030-1337	Surface Coatings International	Oil Colour Chemists' Assoc	
SUENET	0267-0844	Surface Engineering	Inst of Materials	
SIXTFP	1027-4510	"Surface Investigation X-Ray, Synchrotron and Neutron Techniques"	Gordon & Breach Science Publ Inc	
SUSCAS	0039-6028	Surface Science	Elsevier Science B.V.	
SSREDI	0167-5729	Surface Science Report	Elsevier Science Publishers B.V.	
SUFPA2	0585-9840	Surfaces(Paris)	Group Cepp Editions Ampere	
SLISEZ	0039-6273	Surveying and Land Information Systems	ACSM	
SUGEEC	0169-3298	Surveys in Geophysics	Kluwer Academic Publishers	
SHEPBD	0142-2413	Surveys in High Energy Physics	Gordon & Breach Science Publ Inc	
002250	0039-6338	Survival	Oxford Univ Press	
SGXUFE	1007-2012	Suxing Gongcheng Xuebao/Journal of Plasticity Engineering	Beijing Res Inst Mech Electr Technol	
SVMAD2	0203-3119	Sverkhtverdye Materialy	Mezhdunarodnaya Kniga	
SVWRAW	0346-8577	"Svetsaren, a Welding Review"	ESAB AB	
SWESFP	1070-6232	SWE Magazine	Soc of Women Engineers	
SJARB9	0049-2701	Swedish Journal of Agricultural Research	Scandinavian University Press	
SSAMDP	0314-6154	Symposia Series - Australasian Institute of Mining and Metallurgy	Australasian Inst of Mining & Metallurgy	
SYMCAQ	0082-0784	Symposium (International) on Combustion	Combustion Inst	
000206		Symposium of the International Basal Ganglia Society	Plenum Publ Corp	
000814		Symposium on Advances in Robot Kinematics	Springer-Verlag GmbH & Company KG	
000865		Symposium on Discrete Models of Fluid Dynamics	World Scientific Publ Co	
000918		Symposium on Neural Systems Analysis and Modeling	Kluwer Academic Publishers	
001106		Symposium on Operations Research	Physica-Verlag Rudolf Liebing GmbH & Co	
001121		"Symposium on Particles on Surfaces: Detection, Adhesion and Removal"	Plenum Publ Corp	
000437		Symposium on Regeneration of Vertebrate Sensory Receptor Cells	John Wiley & Sons Ltd	
000572		Symposium on the Society of Reliability Engineers	Elsevier Applied Science Publ Ltd	
SYNLES	0936-5214	Synlett	Georg Thieme Verlag	
SYNTBF	0039-7881	Synthesis	Georg Thieme Verlag	
SRIMCN	0094-5714	Synthesis and Reactivity in Inorganic and Metal-Organic Chemistry	Marcel Dekker Inc	
SYNCAV	0039-7911	Synthetic Communications	Marcel Dekker Inc	
SYMEDZ	0379-6779	Synthetic Metals	Elsevier Sequoia SA	
SDREEG	0883-7066	System Dynamics Review	John Wiley & Sons Ltd	
SCLEDC	0167-6911	Systems & Control Letters	Elsevier Science Publishers B.V.	
SAMSEC	0232-9298	Systems Analysis Modelling Simulation	Gordon & Breach Science Publ Inc	
SCJAEP	0882-1666	Systems and Computers in Japan	Scripta Technica Inc	
SYENFO	1098-1241	Systems Engineering	John Wiley & Sons Inc	
SYPREM	0894-9859	Systems Practice	Plenum Publ Corp	
ISISE8	0882-3014	Systems Research and Information Science	Gordon & Breach Science Publishers	
SYSCDP	0137-1223	Systems Science	Tech Univ Wroclaw	
TTINFK		T&T International	Miller Freeman plc	
TAJOFV		TAB Journal	Associated Air Balance Council	
TLKEFF	1026-4469	Tai-wan Lin Yeh Ko hsueh/Taiwan Journal of Forest Science	Taiwan For Res Inst	
TYNPDG	0254-0096	Taiyangneng Xuebao/Acta Energiae Solaris Sinica	China Int Book Trading Corp	
TLNTA2	0039-9140	Talanta	Elsevier Science Publ Co Inc	
003123		"TAPPI - Polymers, Laminations & Coatings Conference"	TAPPI Press	
TAJODT	0734-1415	TAPPI Journal	TAPPI Press	
TANOEG	0892-4007	TAPPI Notes	TAPPI Press	
003064		TAPPI Proceedings - Metered Size Press Forum	TAPPI Press	
003118		TAPPI Proceedings - Plastic Laminates Symposium	TAPPI Press	
000809		TAPPI Proceedings - Process Control Conference	TAPPI Press	
002929		Tara	Tara Verlag AG	
001734	0268-3679	Teaching Mathematics and Its Applications	Oxford Univ Press	
TCBAEU	0104-3285	Tecbahia Revista Baiana De Tecnologia	CEPED	
002930	1090-0217	Technews: The NAA Magazine of Newspaper Operations	Newspaper Assoc Am	
TCHNAR	0040-0866	Technica	Industrie - Verlag AG	
TCCME3		Technical Council on Cold Regions Engineering Monograph	ASCE	
TLEMF9		Technical Council on Lifeline Earthquake Engineering Monograph	ASCE	
001671		Technical Digest - European Quantum Electronics Conference	IEEE	
TDGSEE		Technical Digest - GaAs IC Symposium (Gallium Arsenide Integrated Circuit)	IEEE	
TDIMD5	0163-1918	Technical Digest - International Electron Devices Meeting	IEEE	
000900		Technical Digest on Spatial Light Modulators and Applications	Optical Soc of America	
TEGEED		Technical Engineering and Design Guides of ASCE	ASCE	
TPSEFF		"Technical Paper - Society of Manufacturing Engineers, MC"	SME	
TPMEFJ		"Technical Paper - Society of Manufacturing Engineers, MP"	SME	
SMEADZ	0361-8765	Technical Paper - Society of Manufacturing Engineers. AD	SME	
TSEMDM	0161-1852	Technical Paper - Society of Manufacturing Engineers. EM	SME	
TPFCDA	0161-1844	Technical Paper - Society of Manufacturing Engineers. FC	SME	
TSIQDK		Technical Paper - Society of Manufacturing Engineers. IQ	SME	
TSMFD7	0191-085X	Technical Paper - Society of Manufacturing Engineers. MF	SME	
